TAKIM,DURUM,DAKIKALAR,GOL SAYISI
Galatasaray,Atılan,0-15,11
Galatasaray,Atılan,16-30,11
Galatasaray,Atılan,31-45,4
Galatasaray,Atılan,46-60,16
Galatasaray,Atılan,61-75,14
Galatasaray,Atılan,76-90+,14

Galatasaray,Yenilen,0-15,3
Galatasaray,Yenilen,16-30,2
Galatasaray,Yenilen,31-45,1
Galatasaray,Yenilen,46-60,4
Galatasaray,Yenilen,61-75,7
Galatasaray,Yenilen,76-90+,5

Fenerbahce,Atılan,0-15,7
Fenerbahce,Atılan,16-30,8
Fenerbahce,Atılan,31-45,13
Fenerbahce,Atılan,46-60,9
Fenerbahce,Atılan,61-75,12
Fenerbahce,Atılan,76-90,16

Fenerbahce,Yenilen,0-15,7
Fenerbahce,Yenilen,16-30,6
Fenerbahce,Yenilen,31-45,3
Fenerbahce,Yenilen,46-60,7
Fenerbahce,Yenilen,61-75,3
Fenerbahce,Yenilen,76-90,5

